0,State,Abr.,State-hood,Capital,Capital since,Area (mi²),City,Metropolitan,Rank in state,"('State', 'Abr.', 'State-hood', 'Capital', 'Capital since', 'Area (mi²)', 'City', 'Metropolitan', 'Rank in state'),"
1,Alabama,AL,1819,Montgomery,1846,159.8,"198,218","373,903",2,"('Alabama', 'AL', '1819', 'Montgomery', '1846', '159.8', '198218', '373903', '2'),"
2,Alaska,AK,1959,Juneau,1906,2716.7,"31,275",,2,"('Alaska', 'AK', '1959', 'Juneau', '1906', '2716.7', '31275', '', '2'),"
3,Arizona,AZ,1912,Phoenix,1889,517.6,"1,660,272","4,857,962",1,"('Arizona', 'AZ', '1912', 'Phoenix', '1889', '517.6', '1660272', '4857962', '1'),"
4,Arkansas,AR,1836,Little Rock,1821,116.2,"193,524","699,757",1,"('Arkansas', 'AR', '1836', 'Little Rock', '1821', '116.2', '193524', '699757', '1'),"
5,California,CA,1850,Sacramento,1854,97.9,"508,529","2,345,210",6,"('California', 'CA', '1850', 'Sacramento', '1854', '97.9', '508529', '2345210', '6'),"
6,Colorado,CO,1876,Denver,1867,153.3,"716,492","2,932,415",1,"('Colorado', 'CO', '1876', 'Denver', '1867', '153.3', '716492', '2932415', '1'),"
7,Connecticut,CT,1788,Hartford,1875,17.3,"124,775","1,212,381",3,"('Connecticut', 'CT', '1788', 'Hartford', '1875', '17.3', '124775', '1212381', '3'),"
8,Delaware,DE,1787,Dover,1777,22.4,"36,047","162,310",2,"('Delaware', 'DE', '1787', 'Dover', '1777', '22.4', '36047', '162310', '2'),"
9,Florida,FL,1845,Tallahassee,1824,95.7,"181,376","367,413",7,"('Florida', 'FL', '1845', 'Tallahassee', '1824', '95.7', '181376', '367413', '7'),"
10,Georgia,GA,1788,Atlanta,1868,133.5,"498,044","5,949,951",1,"('Georgia', 'GA', '1788', 'Atlanta', '1868', '133.5', '498044', '5949951', '1'),"
11,Hawaii,HI,1959,Honolulu,1845,68.4,"359,870","953,207",1,"('Hawaii', 'HI', '1959', 'Honolulu', '1845', '68.4', '359870', '953207', '1'),"
12,Idaho,ID,1890,Boise,1865,63.8,"205,671","616,561",1,"('Idaho', 'ID', '1890', 'Boise', '1865', '63.8', '205671', '616561', '1'),"
13,Illinois,IL,1818,Springfield,1837,54,"116,250","210,170",6,"('Illinois', 'IL', '1818', 'Springfield', '1837', '54', '116250', '210170', '6'),"
14,Indiana,IN,1816,Indianapolis,1825,361.5,"867,125","2,004,230",1,"('Indiana', 'IN', '1816', 'Indianapolis', '1825', '361.5', '867125', '2004230', '1'),"
15,Iowa,IA,1846,Des Moines,1857,75.8,"203,433","569,633",1,"('Iowa', 'IA', '1846', 'Des Moines', '1857', '75.8', '203433', '569633', '1'),"
